"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"2000"	"2000"	"East North Central"	"CENS-D3"	"70-74 years"	"70-74"	33422	1439755	2321.4
	"2000"	"2000"	"East North Central"	"CENS-D3"	"75-79 years"	"75-79"	29979	1211530	2474.5
	"2000"	"2000"	"East North Central"	"CENS-D3"	"80-84 years"	"80-84"	20961	824318	2542.8
	"2000"	"2000"	"East North Central"	"CENS-D3"	"85+ years"	"85+"	16565	702059	2359.5
	"2000"	"2000"	"West North Central"	"CENS-D4"	"< 1 year"	"1"	53	246845	21.5
	"2000"	"2000"	"West North Central"	"CENS-D4"	"1-4 years"	"1-4"	218	985867	22.1
	"2000"	"2000"	"West North Central"	"CENS-D4"	"5-9 years"	"5-9"	142	1313871	10.8
	"2000"	"2000"	"West North Central"	"CENS-D4"	"10-14 years"	"10-14"	170	1383815	12.3
	"2000"	"2000"	"West North Central"	"CENS-D4"	"15-19 years"	"15-19"	297	1418227	20.9
	"2000"	"2000"	"West North Central"	"CENS-D4"	"20-24 years"	"20-24"	451	1264803	35.7
	"2000"	"2000"	"West North Central"	"CENS-D4"	"25-29 years"	"25-29"	710	1174899	60.4
	"2000"	"2000"	"West North Central"	"CENS-D4"	"30-34 years"	"30-34"	1066	1241733	85.8
	"2000"	"2000"	"West North Central"	"CENS-D4"	"35-39 years"	"35-39"	1850	1452842	127.3
	"2000"	"2000"	"West North Central"	"CENS-D4"	"40-44 years"	"40-44"	3098	1484511	208.7
	"2000"	"2000"	"West North Central"	"CENS-D4"	"45-49 years"	"45-49"	4470	1343498	332.7
	"2000"	"2000"	"West North Central"	"CENS-D4"	"50-54 years"	"50-54"	6391	1142504	559.4
	"2000"	"2000"	"West North Central"	"CENS-D4"	"55-59 years"	"55-59"	7885	879162	896.9
	"2000"	"2000"	"West North Central"	"CENS-D4"	"60-64 years "	"60-64"	9717	715455	1358.2
	"2000"	"2000"	"West North Central"	"CENS-D4"	"65-69 years"	"65-69"	11759	636532	1847.4
	"2000"	"2000"	"West North Central"	"CENS-D4"	"70-74 years"	"70-74"	13445	599186	2243.9
